Nawozy mineralne,"Zawartoœæ N
w %"
"Amofoska 3 NPKMgBSCaO 3-10-28-2-0,2-9-16+mikro",3
Amofoska 3 NPKMgSCaO 3-16-18-2-9-25+mikro,3
Amofoska 4 NPKSCaO 4-16-18-11-25+mikro,4
Amosofmag 3 NPKSMgOCaO 3-14-20-9-2-22+mikro,3
"Azofoska 13,5",13.6
Azofoska 8,8
Basfoliar 36 Extra,36.3
Canwil 27 NCaOMgO 27-5-3,27
Fosforan Amonowy,18
Fructus Ogrodnik 10,10
Lubofoska 5,5
Mocznik,46
Polifoska 12 NPKS 12-12-12-11,12
Polifoska 13 NPK 13-13-21,13
Polifoska 15 NPKMg 15-15-15-2,15
Polifoska 4 NPKMgS 4-12-32-2-4,4
Polifoska 6 NPK 6-20-30,6
Polifoska 6 NPKS 6-24-24-4,8
"Polifoska 8 NPKNaSB 8-11-24-3-7-0,3",8
Polimag 305 NPKMgS 5-16-24-8-3,5
Polimag 311 NPKMgS 11-8-16-5-10,11
Polimag 405 NPKMgS 5-10-20-6-4,5
Polimag S 5101 NPKMgS 10-18-15-5-14,10
Poliwap 3 NPKMgS 3-12-18-4-6,3
RSM 32,32
Saletra amonowa,34
Saletrzak,27.5
"Salmag NMgOCaO 27,5-3,5-6",27
"Salmag z borem NMgOCaOB 27,5-3,5-6-0,2",27
"Salmag z siark¹ NSCaO 27,54-6",27
Siarczan Amonowy,22.3
Siarczan Amonowy,22.5
Suprofos 25,5
Symfo-vita B-bis,9
Symfo-vita C-bis,8
Unifoska gran.,8
Woda amoniakalna,20.5
